1|1|1|1|1|1|1||1|30|1|1|1|2026-04-30|2026-04-30|2026-05-03|1
2|1|2|2|2|2|2|2|2|30|1|1|1|2026-04-30|2026-04-30|2026-05-03|1
3|1|3|3|3|3|3|3|3|10|1|0|1|2026-04-30|2026-05-09|2026-05-10|1
4|1|4|4|4|4|4|4|4|30|0|0|1|2026-04-30||2026-04-30|1
5|1|5|5|5|5|5|5|5|30|0|0|1|2026-04-30||2026-04-30|1
6|1|6|6|6|6|6|6|1|30|0|0|1|2026-04-30||2026-04-30|1
7|1|1|1|[错题转化] 1 - 1|1|1；错因分析：1|错题转化|5|30|0|0|1|2026-04-30||2026-04-30|1
8|2|91|91|78|91|78|9178|1|50|0|0|1|2026-05-08||2026-05-08|1
9|2|1|1|1|1|1||1|50|0|0|1|2026-05-08||2026-05-08|1
10|1|英语|大学英语第一章|一|abandon是什么意思|抛弃，舍弃，丢弃|单词|1|50|0|0|1|2026-05-09||2026-05-09|1
11|1|数学|高等数学第一章|[错题转化] 数学 - 高等数学第一章|当x趋近于0时，sinx/x的极限是多少？|0|错题转化|5|50|0|0|1|2026-05-09||2026-05-09|1
